CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,58.2406341463415
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,56.2516097560976
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,72.9723658536585
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,67.7720487804878
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,55.0418048780488
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.4011219512195
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,49.8798780487805
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,51.1914878048781
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.4628292682927
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.1979268292683
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.3530243902439
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.8097317073171
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,62.9321707317073
"Congo, Dem. Rep.",ZAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,58.2719268292683
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,61.6663902439024
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,79.2252195121951
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,51.2084634146342
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,77.1268292682927
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,79.2563902439025
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,79.9497804878049
Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,78.2780487804878
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.3024390243903
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,61.6864634146342
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.3199024390244
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.648512195122
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,70.9257804878049
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,72.4981463414634
